ALAWOONA RD, MUNNO PARA
ANDERSON WALK, SMITHFIELD
BARTELS RD, ADELAIDE
COVENTRY RD, MUNNO PARA
CROSS RD, MYRTLE BANK
DEQUETTEVILLE TCE, KENT TOWN
DIMENT RD, SALISBURY NORTH
DUTTON TCE, MEDINDIE
FAIRFIELD RD, ELIZABETH GROVE
GLYNBURN RD, BURNSIDE
HALSEY RD, ELIZABETH EAST
HECTORVILLE RD, HECTORVILLE
LANGMAN GR, FELIXSTOW
MAIN NORTH RD, SMITHFIELD
MARIAN RD, FIRLE
MIDWAY RD, ELIZABETH PARK
PHILIP HWY, ELIZABETH SOUTH
SALISBURY HWY, SALISBURY
SOUTH PARA RD, KERSBROOK
SOUTH TCE, ADELAIDE
STANFORD RD, SALISBURY HEIGHTS
WAR MEMORIAL DR, NORTH ADELAIDE
WHITES RD, PARALOWIE
YORKTOWN RD, ELIZABETH PARK
